Name,Flag
J000013.84+112636.9,x
J000118.74-220131.9,x
J000200.14+660949.9,x
J000319.87+591857.0,x
J000347.54-231256.7,x
J000533.16+450653.0,x
J000559.65-411741.2,x
J000604.71-190552.1,x
J000806.35-544158.1,x
J000905.64-003736.2,x
J001220.58+113841.3,x
J001234.05-470548.1,x
J001749.19-703634.4,x
J002054.27-281400.9,x
J002159.02-451434.4,x
J002253.10-474835.1,x
J002456.51-020108.0,x
J002756.06+234801.9,x
J002926.14-332224.6,x
J003145.38-205446.4,x
J003340.32-413558.7,x
J003831.49+840517.1,x
J004032.15-672713.8,x
J004528.82+315329.5,x
J004732.44-132237.3,x
J004951.11+300451.6,x
J005230.04-143512.3,x
J005513.45+244938.9,x
J005844.83+153500.2,x
J005903.40-543127.0,x
J010059.86+251349.7,x
J010214.22-534954.3,x
J010407.37+230728.9,x
J010602.39-300556.0,x
J010624.01-031352.7,x
J010652.96-354215.9,x
J010654.59+125244.3,x
J010655.30+125254.7,x
J010656.39+125352.2,x
J010659.72+125543.4,x
J010659.91+125551.1,x
J010703.08+125741.5,x
J010703.30+125749.9,x
J010703.78+125807.5,x
J010704.33+125826.9,x
J010705.78+125916.9,x
J010705.97+125925.4,x
J010706.56+125946.1,x
J010707.25+130009.6,x
J010726.02+191805.0,x
J010729.74+072412.7,x
J010825.35+073738.0,x
J010938.31-035625.0,x
J011046.92-531159.3,x
J011125.05+170921.2,x
J011144.65+004101.1,x
J011619.53+155833.8,x
J011704.10-633444.8,x
J011729.89-770037.3,x
J011825.37-094329.5,x
J011912.41+240331.7,x
J011915.61-591121.3,x
J011918.17-814640.6,x
J012001.65-281016.0,x
J012012.05-011832.6,x
J012036.66-101130.6,x
J012238.18-293643.4,x
J012253.89-463509.0,x
J012502.21-033700.0,x
J012530.02+130422.8,x
J012632.15+062927.5,x
J012923.37-063509.7,x
J012944.50-710742.9,x
J013102.08+365701.9,x
J013429.43-050028.2,x
J013435.51-093349.3,x
J013652.31-123232.3,x
J013759.76+042634.3,x
J013838.23-143949.3,x
J014215.20-141524.3,x
J014222.88+001644.5,x
J014249.89-055732.0,x
J014605.22-380204.4,x
J014643.08-420330.2,x
J014903.20-165344.2,x
J014922.96-420413.3,x
J014947.33-144224.3,x
J015011.04-193934.4,x
J015136.06+455522.9,x
J015254.43+325103.9,x
J015321.31-493109.4,x
J015422.21-090749.5,x
J015445.63+622747.9,x
J015610.23-211327.0,x
J015707.44-092159.5,x
J015814.34-135424.0,x
J020035.55-234212.9,x
J020115.01-120133.5,x
J020445.98-383358.3,x
J020521.76-155444.5,x
J020550.18-264648.7,x
J020554.29-343840.2,x
J020637.52-402317.7,x
J020743.00+000056.1,x
J020850.57-662732.7,x
J021059.52-134011.8,x
J021401.22+092448.6,x
J021422.03-210725.8,x
J021717.84-123758.5,x
J021718.94-000727.3,x
J021854.31-220239.9,x
J021926.66-484557.9,x
J022326.05-084555.9,x
J022443.96+290658.3,x
J022559.71-111230.8,x
J022702.63-251609.5,x
J022725.75-802206.6,x
J022852.58-075334.3,x
J023002.73+115949.9,x
J023125.90-015000.9,x
J023225.22-244445.3,x
J023450.77+035515.3,x
J023608.45+043405.2,x
J023618.28-300848.4,x
J024049.29+300057.2,x
J024240.83+204115.2,x
J024326.12-412958.3,x
J024421.65+231115.5,x
J024558.58-013619.4,x
J024601.14-395939.1,x
J024713.89-013239.7,x
J024726.32-502540.9,x
J024727.89+281349.8,x
J025044.65-324000.4,x
J025401.76-182528.5,x
J025408.69-493644.2,x
J025744.41+153047.8,x
J025839.26-353645.4,x
J030102.80-033018.5,x
J030802.81-383302.0,x
J031348.52+060659.7,x
J031351.84+610243.0,x
J031444.50-281634.1,x
J031607.79-171125.3,x
J031701.47+041054.8,x
J031843.07-015813.0,x
J032047.02+012121.3,x
J032246.29-010540.6,x
J032501.25-444844.1,x
J032531.69+060035.5,x
J033345.43-650620.9,x
J033554.79-443916.2,x
J033601.94+653439.6,x
J033832.97-305646.4,x
J033904.95+612002.2,x
J034054.08+115548.4,x
J034132.69-192547.4,x
J034238.95+210442.2,x
J034352.50+041632.4,x
J034521.48-705817.8,x
J034728.47+194253.4,x
J035231.84-491059.4,x
J035518.62+120544.3,x
J035741.19-301134.4,x
J035846.42+074457.6,x
J035902.19-530512.6,x
J040237.17+284909.7,x
J040639.86-012005.4,x
J041017.50+184536.7,x
J041019.63+353911.6,x
J041028.35-103556.3,x
J041030.90-430853.4,x
J041033.48+194032.1,x
J041422.67+081405.9,x
J041614.40+434222.3,x
J041620.48+641004.1,x
J041710.32-204755.8,x
J041927.22+132144.5,x
J042220.07+122806.4,x
J042324.48+173833.1,x
J042438.37+020449.8,x
J042701.16+023152.2,x
J042743.16-481055.2,x
J042744.66+261734.5,x
J043050.35-561832.4,x
J043712.23-563046.6,x
J043751.80+572649.2,x
J044358.89-451233.7,x
J044517.37-002224.2,x
J044554.58+154335.1,x
J044807.33-631738.9,x
J044901.79+023622.5,x
J045205.67-500012.7,x
J045631.16-022344.8,x
J045907.91+361015.9,x
J050025.48-533116.6,x
J050055.55-543956.0,x
J050516.70+463406.6,x
J050810.46-011520.1,x
J051349.51+000300.1,x
J051719.64-615651.5,x
J052940.43-465914.9,x
J054241.89+254707.3,x
J054504.81-533806.9,x
J055010.29+091138.0,x
J055317.01+693533.2,x
J055500.32-653747.5,x
J055620.83+351739.2,x
J055905.77-055011.2,x
J055956.05+310922.8,x
J060326.00+732604.1,x
J061014.27-602716.3,x
J061714.90-703742.7,x
J062110.44-413841.2,x
J062521.03+201548.5,x
J062748.96-705639.9,x
J062849.07-094429.9,x
J062924.38-652549.5,x
J063037.96-091306.4,x
J063813.99-392904.6,x
J063842.84+710648.3,x
J065604.00-711023.7,x
J065712.32+692901.7,x
J070008.58-601535.8,x
J070319.64-570055.3,x
J070444.73-580433.6,x
J071116.43-593419.6,x
J071156.72-690211.4,x
J071202.87-621001.8,x
J071223.26-070148.6,x
J071250.67-510930.3,x
J071856.35-135054.6,x
J072100.19-692820.4,x
J072116.78+664927.7,x
J072609.05-700853.8,x
J073030.31+212156.0,x
J073438.20-772813.2,x
J073857.74-530608.5,x
J074507.94-063203.2,x
J075443.00-601347.6,x
J080028.61-095713.1,x
J080213.46-072018.8,x
J080345.01-573810.8,x
J080730.83-352146.8,x
J081343.64-352333.5,x
J082718.03+480137.8,x
J082859.41-443326.1,x
J083117.86-632009.8,x
J083711.35-703341.1,x
J083901.93-441552.1,x
J084301.92+001246.8,x
J085609.65-435604.7,x
J091751.87-733850.8,x
J091828.52-775236.4,x
J092749.59+095440.0,x
J093204.91-342057.1,x
J093322.68-441904.5,x
J093938.86-722551.2,x
J094527.16-731214.3,x
J094641.48-083945.4,x
J095656.12-325020.4,x
J095803.89-621359.4,x
J100113.62-762737.8,x
J101159.13-682632.5,x
J101713.38+295805.1,x
J101716.48+295626.1,x
J101720.07+295435.4,x
J102332.99+221527.6,x
J102949.95-493625.6,x
J103307.24-250035.2,x
J103723.53-195401.7,x
J104255.86-272953.2,x
J105131.25-144017.1,x
J105649.79-740709.9,x
J105833.83-450134.1,x
J110736.90-513538.2,x
J111634.93-004046.6,x
J112523.20-683457.2,x
J114051.64-341722.0,x
J114136.50-351708.3,x
J114146.09-322321.1,x
J115334.36-822740.7,x
J115536.15-305927.1,x
J120000.34-363000.3,x
J120310.57-255530.2,x
J121215.56-173924.8,x
J122003.75-295410.7,x
J122917.21-251628.7,x
J123029.90-272158.5,x
J123326.24-194218.7,x
J124113.18-164001.0,x
J124613.10-632231.6,x
J125302.57-371811.1,x
J125634.63-135438.9,x
J125728.74-210118.2,x
J125939.29-131836.9,x
J130720.84-053001.2,x
J131220.94-293732.5,x
J131634.07-434912.3,x
J132805.85-445619.8,x
J140259.37-092107.6,x
J141500.36-364452.7,x
J142204.81-320948.4,x
J142801.19-160342.1,x
J143327.65+092806.9,x
J151833.08+115408.3,x
J152742.29-453435.2,x
J155157.87-425541.6,x
J162441.40-725552.8,x
J164817.10-813420.0,x
J171510.86-724927.8,x
J171932.21-832237.1,x
J173045.57-745705.9,x
J174922.88-515238.5,x
J185340.69-430833.1,x
J185653.72-501519.6,x
