RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,W1-mag,W1-mag Error,W2-mag,W2-mag Error
0.30149789707172414,15.592737632848468,132.5,2.2,-180.3,1.9,27.2,3.5,SDSS J000112.18+153535.5  ,L3.7 (INT-G),12.965,0.024,12.539,0.024
1.1278605118004112,-26.06734415886318,-0.9,4.3,-243.7,3.8,33.1,4.7,PSO J001.1277-26.0675     ,T4          ,15.211,0.038,14.127,0.044
2.207786732679177,-17.656515613548834,-171.1,3.1,-373.1,3.1,36.1,3.9,WISEPC J000849.76-173922.6,T6          ,16.875,0.109,14.795,0.069
3.3435668928877313,-11.716814333374488,213.7,3.3,-26.7,3.1,40.3,3.1,PSO J003.3437-11.7168     ,T4          ,15.495,0.047,14.317,0.055
3.9369628867916395,35.26666154966917,47.2,2.8,-257.8,2.7,65.7,3.5,2MASSW J0015447+351603    ,L1.0        ,11.794,0.023,11.538,0.021
4.1846377601616895,23.074104282356906,405.4,2.1,61.8,2.5,38.4,3.3,PSO J004.1834+23.0741     ,T0          ,14.325,0.029,13.667,0.035
5.630400314345135,-6.866967161808851,-106.7,2.3,-7.2,2.3,30.6,3.0,PSO J005.6302-06.8669     ,T3          ,14.465,0.03,13.683,0.035
7.627182359058848,-14.842647988917967,256.1,3.4,-41.7,3.3,41.1,5.3,2MASSW J0030300-145033    ,L6: (FLD-G) ,13.682,0.026,13.326,0.032
7.7910774676282735,57.82679120686276,522.5,3.5,-23.9,4.0,71.0,5.0,WISE J003110.04+574936.3  ,L9          ,12.422,0.024,11.843,0.021
7.919421483642357,33.596085155203774,-17.3,2.3,-19.2,1.9,45.4,3.8,PSO J007.9194+33.5961     ,L9          ,13.755,0.026,13.247,0.03
8.02350041527428,2.3162239258498545,389.8,2.8,-331.1,3.1,44.9,4.0,2MASS J00320509+0219017   ,M9          ,16.035,0.118,15.93,0.283
10.103693610441505,9.015240777115167,-53.7,2.8,-62.3,2.3,71.3,2.7,WISE J004024.88+090054.8  ,T7          ,15.985,0.065,13.826,0.049
11.17980002503455,-3.78468680237511,180.2,2.4,79.0,2.2,38.1,2.7,PSO J011.1793-03.7847     ,T2          ,14.754,0.034,13.73,0.039
11.428719076338144,36.19420853329934,-88.0,2.7,-166.1,3.2,53.4,5.2,WISE J004542.56+361139.1  ,T5          ,15.317,0.036,13.734,0.032
11.702028244065486,7.254799413258747,87.4,2.5,-58.8,2.5,24.5,2.5,2MASS J00464841+0715177   ,L0.9 (VL-G) ,12.091,0.024,11.644,0.022
12.600543992351014,-15.640088174950202,-224.1,2.7,-492.2,3.7,37.3,2.3,SIPS J0050-1538           ,L0.5        ,12.325,0.024,12.071,0.024
12.795429717155539,-15.738072649946192,55.0,3.7,-47.6,4.2,27.6,3.1,2MASSW J0051107-154417    ,L5:         ,12.743,0.023,12.416,0.025
15.509991490889266,3.928231129001625,353.2,2.6,71.0,2.3,40.2,2.8,WISEA J010202.11+035541.4 ,L9          ,14.224,0.029,13.646,0.037
22.828372008123974,38.03197809180596,374.1,3.3,-30.3,3.3,39.1,4.3,2MASS J01311838+3801554   ,L1.5        ,12.453,0.022,12.202,0.022
23.89935607179107,12.088108942212173,-43.7,3.0,-445.9,2.3,40.7,2.3,2MASSW J0135358+120522    ,L0.6        ,12.506,0.023,12.264,0.024
