# ; obj tags ;obj count;                     raw id                     ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;Mag J ;Mag K ;  spec. type   
--;----------;---------;------------------------------------------------;-----------------------------------;---;---------------------------------------;------;------;---------------
1 ;d         ;        2;SDSS J000112.18+153535.5                        ;2MASS J00011217+1535355            ;BD*;00 01 12.1649057559 +15 35 35.544459777;15.522;13.710;L4             
2 ;d         ;        2;PSO J001.1277-26.0675                           ;2MASS J00043065-2603596            ;BD*;00 04 30.65544 -26 03 59.6268          ;16.487;null;T2             
3 ;d         ;        2;WISEPC J000849.76-173922.6                      ;WISE J000849.75-173922.9           ;BD*;00 08 49.75728 -17 39 22.9644          ;17.030;null;T6             
4 ;d         ;        2;PSO J003.3437-11.7168                           ;2MASS J00132229-1143006            ;BD*;00 13 22.29720 -11 43 00.6168          ;16.349;15.690;T3pec          
5 ;d         ;        3;2MASS J00150206+2959323                         ;2MASS J00150206+2959323            ;BD*;00 15 02.064 +29 59 32.30              ;16.158;14.482;L8.5           
6 ;d         ;        1;NLTT 730                                        ;G 130-58                           ;PM*;00 15 05.7335050580 +29 55 40.327025876;11.094;10.220;null              
7 ;d         ;        2;2MASSW J0015447+351603                          ;2MASSW J0015447+351603             ;BD*;00 15 44.7737086408 +35 16 02.639395150;13.88 ;12.264;L1.0V          
8 ;d         ;        2;PSO J004.1834+23.0741                           ;2MASS J00164364+2304262            ;BD*;00 16 43.641 +23 04 26.25              ;16.58 ;15.24;T0             
9 ;d         ;        2;PSO J004.6359+56.8370                           ;PSO J004.6359+56.8370              ;*  ;00 18 32.8733 +56 50 13.642            ;null;null;null              
10;d         ;        2;PSO J005.6302-06.8669                           ;PSO J005.6302-06.8669              ;*  ;00 22 31.2627 -06 52 01.110            ;null;null;null              
11;d         ;        2;2MASS J00282091+2249050                         ;2MASS J00282091+2249050            ;BD*;00 28 21.0063417605 +22 49 04.022081881;15.61;13.78;L7:            
12;d         ;        2;2MASSW J0030300-145033                          ;2MASSW J0030300-145033             ;BD*;00 30 30.13224 -14 50 33.3960          ;16.278;14.481;L7V            
13;d         ;        2;WISE J003110.04+574936.3                        ;2MASS J00310928+5749364            ;BD*;00 31 09.288 +57 49 36.47              ;14.95;13.215;L9             
14;d         ;        2;PSO J007.9194+33.5961                           ;2MASS J00314067+3335459            ;BD*;00 31 40.672 +33 35 45.93              ;16.45;14.49;L9             
15;d         ;        2;2MASS J00320509+0219017                         ;2MASS J00320509+0219017            ;BD*;00 32 05.0812369173 +02 19 01.841909803;14.324;12.802;L0.4V          
16;d         ;        2;WISE J004024.88+090054.8                        ;2MASS J00402492+0900547            ;BD*;00 40 24.927 +09 00 54.73              ;16.50;null;T7             
17;d         ;        2;PSO J011.1793-03.7847                           ;PSO J011.1793-03.7847              ;*  ;00 44 43.0932 -03 47 04.563            ;null;null;null              
18;d         ;        2;WISE J004542.56+361139.1                        ;2MASS J00454267+3611406            ;BD*;00 45 42.67440 +36 11 40.6680          ;16.145;15.798;T5             
19;dx        ;        3;2MASS J00464841+0715177                         ;2MASS J00464841+0715177            ;BD*;00 46 48.4170429259 +07 15 17.756602401;13.885;12.546;L0             
20;d         ;        2;WISEPC J004928.48+044100.1                      ;2MASS J00492826+0440575            ;BD*;00 49 28.26768 +04 40 57.5688          ;15.854;14.170;L9             
21;d         ;        2;SIPS J0050-1538                                 ;2MASSI J0050244-153818             ;BD*;00 50 24.4138444279 -15 38 19.167271017;13.779;12.647;L0.5V          
22;d         ;        2;2MASSW J0051107-154417                          ;2MASSW J0051107-154417             ;BD*;00 51 10.7930960644 -15 44 16.967123484;15.28;13.466;L6             
23;d         ;        1;WISEA J010202.11+035541.4                       ;2MASS J01020186+0355405            ;BD*;01 02 01.86984 +03 55 40.5840          ;16.740;15.081;L9             
24;d         ;        1;SDSS J011912.22+240331.6                        ;2MASS J01191207+2403317            ;BD*;01 19 12.071 +24 03 31.71              ;16.86;16.26;T0.0+T4.0      
25;d         ;        1;WISEPA J012333.21+414203.9                      ;WISE J012333.23+414203.8           ;BD*;01 23 33.23904 +41 42 03.8304          ;17.380;18.370;T7             
26;d         ;        1;2MASS J01311838+3801554                         ;2MASSI J0131183+380155             ;BD*;01 31 18.4183251583 +38 01 55.389805163;14.679;13.054;L1.5           
27;d         ;        1;WISE J013525.64+171503.4                        ;WISE J013525.64+171503.4           ;BD*;01 35 25.64640 +17 15 03.4920          ;null;null;T6             
28;d         ;        1;2MASSW J0135358+120522                          ;2MASSW J0135358+120522             ;BD*;01 35 35.8635313149 +12 05 21.912031909;14.41;12.918;L1.5V          
29;dx        ;        2;SIMP J013656.5+093347.3                         ;SIMP J013656.5+093347.3            ;BD*;01 36 56.62488 +09 33 47.3256          ;13.455;12.562;T2.0           
30;d         ;        1;PSO J024.4369+09.1360                           ;PSO J024.4369+09.1360              ;BD?;01 37 44.87 +09 08 10.2                ;16.42;16.01;null              
31;d         ;        1;WISEPC J013836.59-032221.2                      ;2MASS J01383648-0322181            ;BD*;01 38 36.48216 -03 22 18.1308          ;16.389;15.198;T3             
32;d         ;        1;HIP 9269                                        ;HD 12051                           ;PM*;01 59 06.6333516508 +33 12 34.858882675;5.755;5.322;G9V            
33;d         ;        1;HIP 9269B                                       ;2MASS J01591078+3312313            ;BD*;01 59 10.780 +33 12 31.34              ;15.956;14.317;L6             
34;sdx       ;        7;2MASS J02132062+3648506C                        ;PSO J033.3327+36.8105              ;BD*;02 13 19.86065280 +36 48 38.0071800    ;15.297;14.770;T3             
35;dx        ;        7;2MASS J0213+3648AB                              ;PM J02133+3648                     ;** ;02 13 20.5910207915 +36 48 50.536769895;9.367;8.518;M4.5V          
36;x         ;        1;2MASSW J0320284-044636                          ;2MASS J03202839-0446358            ;LM*;03 20 28.3595736791 -04 46 36.418652525;13.259;12.134;M8.5+T5        
37;d         ;        1;SDSS J032553.17+042540.1                        ;2MASS J03255322+0425406            ;BD*;03 25 53.22288 +04 25 40.6920          ;15.996;16.523;T5.5           
38;x         ;        2;WISE J033605.05-014350.4                        ;WISE J033605.05-014350.4           ;BD*;03 36 05.05224 -01 43 50.4840          ;null;null;Y0             
39;x         ;        1;J0350-56                                        ;WISE J035000.32-565830.2           ;BD*;03 50 00.32784 -56 58 30.2340          ;22.09;null;Y1             
40;x         ;        1;J0359-54                                        ;WISE J035934.06-540154.6           ;BD*;03 59 34.06704 -54 01 54.6420          ;21.40;22.80;Y0             
41;d         ;        1;WISE J043052.92+463331.6                        ;WISE J043052.92+463331.6           ;BD*;04 30 52.92 +46 33 31.6                ;19.03;null;T8             
42;sdx       ;        6;PSO J071.8-12.2                                 ;2MASS J04473039-1216155            ;BD*;04 47 30.396 -12 16 15.54              ;16.48;15.55;T2:            
43;dx        ;        2;WISEPA J050003.05-122343.2                      ;WISEP J050003.05-122343.2          ;BD*;05 00 03.04608 -12 23 43.2744          ;17.782;null;T8             
44;d         ;        1;HIP 26653B                                      ;2MASS J05394952+5253597            ;BD*;05 39 49.5336367323 +52 53 59.799725554;14.756;13.322;L5             
45;d         ;        1;HIP 26653                                       ;HD 37216                           ;PM*;05 39 52.3472927511 +52 53 50.953328568;6.424;6.002;G5V            
46;d         ;        1;WISE J061437.73+095135.0                        ;2MASS J06143845+0951408            ;BD*;06 14 38.45160 +09 51 40.8168          ;15.027;14.546;T7             
47;dx        ;       11;ABDMG                                           ;NAME AB Dor Moving Group           ;MGr;06 38 53.4 -42 50 04                   ;null;null;null              
48;x         ;        1;J0647-62                                        ;WISE J064723.23-623235.5           ;BD*;06 47 23.23704 -62 32 35.5164          ;22.45;null;Y1             
49;d         ;        1;HIP 38939B                                      ;2MASS J07580132-2538587            ;BD*;07 58 01.32768 -25 38 58.7544          ;16.124;null;T4.5V          
50;d         ;        1;HIP 38939                                       ;HD 65486                           ;PM*;07 58 04.3704847018 -25 37 35.861805940;6.506;5.833;K4-V(k)        
51;d         ;        1;WISEPA J085716.25+560407.6                      ;WISE J085716.24+560407.6           ;BD*;08 57 16.24512 +56 04 07.6512          ;17.650;17.690;T8             
52;x         ;        1;ULAS J085910.69+101017.1                        ;ULAS J085910.69+101017.1           ;BD*;08 59 10.68792 +10 10 17.1300          ;17.897;18.285;T7             
53;x         ;        1;PSO J135.0395+32.0845                           ;2MASS J09000957+3205045            ;BD*;09 00 09.5736947399 +32 05 04.513226958;15.84;14.50;L1.5           
54;d         ;        1;Gl 337CD                                        ;* pi.01 Cnc C                      ;BD*;09 12 14.69112 +14 59 39.6240          ;15.512;14.043;L8.5+L7.5      
55;d         ;        1;Gl 337AB                                        ;* pi.01 Cnc                        ;SB*;09 12 17.5474052342 +14 59 45.776204103;5.121;4.664;G9V            
56;x         ;        1;2MASS J09352803-2934596                         ;2MASS J09352803-2934596            ;BD*;09 35 28.0356309403 -29 34 59.349580315;14.036;12.822;L0.3V          
57;d         ;        1;2MASS J09490860-1545485                         ;2MASS J09490860-1545485            ;BD*;09 49 08.60280 -15 45 48.5244          ;16.149;15.227;T1.0+T2.0      
58;d         ;        1;WISE J103907.73-160002.9                        ;WISE J103907.73-160002.9           ;BD*;10 39 07.73088 -16 00 02.9340          ;17.34;null;T7.5           
59;d         ;        1;SDSS J104409.43+042937.6                        ;2MASS J10440942+0429376            ;BD*;10 44 09.42360 +04 29 37.6980          ;15.881;14.259;L7             
60;dx        ;       15;TWA                                             ;NAME TW Hya Association            ;As*;11 01 54.0 -34 42 00                   ;null;null;null              
61;sdx       ;        5;Gl 417BC                                        ;HD 97334B                          ;BD*;11 12 25.6347484565 +35 48 12.777435627;14.584;12.721;L4.5+L6        
62;dx        ;        4;Gl 417A                                         ;HD 97334                           ;BY*;11 12 32.3505448605 +35 48 50.691547084;5.265;4.959;G2             
63;x         ;        3;2MASS J1119-1137AB                              ;TWA 42                             ;BD*;11 19 32.54328 -11 37 46.6968          ;null;14.617;L7             
64;d         ;        1;WISEPC J112254.73+255021.5                      ;2MASS J11225550+2550250            ;BD*;11 22 55.50384 +25 50 25.0728          ;16.376;16.550;T6             
65;d         ;        1;LP 374-39                                       ;LP 374-39                          ;PM*;11 23 07.868352 +25 53 36.42900        ;10.294;9.459;M5.0V          
66;sdx       ;       12;WISEA J1147-2040                                ;TWA 41                             ;BD*;11 47 24.21360 -20 40 20.4384          ;null;14.872;L7V            
67;d         ;        1;SDSS J115553.86+055957.5                        ;2MASS J11555389+0559577            ;BD*;11 55 53.85120 +05 59 57.5880          ;15.660;14.118;L7.5           
68;d         ;        1;NLTT 31450B                                     ;2MASS J12394920+3209056            ;BD*;12 39 49.207 +32 09 05.62              ;16.135;14.331;L6             
69;d         ;        1;NLTT 31450                                      ;LP 321-78                          ;PM*;12 39 49.3500494416 +32 08 53.074974747;10.784;9.934;M3:            
70;d         ;        1;WISE J125715.90+400854.2                        ;WISE J125715.90+400854.2           ;BD*;12 57 15.90 +40 08 54.2                ;17.23;17.00;T7             
71;d         ;        1;2MASSW J1326201-272937                          ;DENIS J132620.0-272936             ;BD*;13 26 20.09928 -27 29 37.0932          ;15.847;13.852;L5             
72;d         ;        1;LHS 2803B                                       ;LP 738-14 B                        ;BD*;13 48 02.90808 -13 44 07.1664          ;16.475;null;T5.5           
73;d         ;        1;LHS 2803                                        ;LP 738-14                          ;PM*;13 48 07.2757085189 -13 44 31.599911169;10.413;9.664;M4.5           
74;dx        ;       12;BPMG                                            ;NAME beta Pic Moving Group         ;MGr;14 30 00.0 -42 00 00                   ;null;null;null              
75;d         ;        1;VHS J143311.46-083736.3                         ;WISE J143311.42-083736.4           ;BD*;14 33 11.421 -08 37 36.48              ;19.139;null;T8.0           
76;sdx       ;        4;HIP 73169B                                      ;2MASS J14571164-0619260            ;BD*;14 57 11.646 -06 19 26.04              ;16.007;14.360;L2.5           
77;dx        ;        2;HIP 73169                                       ;G 151-11                           ;PM*;14 57 12.6387010677 -06 19 01.113810489;8.952;8.142;M0Vk           
78;d         ;        1;HIP 73786                                       ;BD+06 2986                         ;PM*;15 04 53.5261950182 +05 38 17.160512285;7.264;6.468;K8V            
79;d         ;        1;HIP 73786B                                      ;ULAS J150457.65+053800.8           ;BD*;15 04 57.65616 +05 38 00.8268          ;16.591;17.413;sdT5.5         
80;x         ;        2;2MASS J15500845+1455180                         ;2MASSI J1550084+145517             ;BD*;15 50 08.50464 +14 55 17.0364          ;14.776;13.261;L2.5           
81;dx        ;        2;WISEPA J164715.59+563208.2                      ;2MASS J16471580+5632057            ;BD*;16 47 15.80544 +56 32 05.7264          ;16.911;14.611;L9pec          
82;d         ;        1;2MASS J17114559+4028578                         ;G 203-50B                          ;BD*;17 11 45.6231640985 +40 28 57.853971297;15.00;13.80;L5             
83;d         ;        1;G 203-50                                        ;G 203-50                           ;PM*;17 11 46.0843999429 +40 29 01.526228338;11.074;10.271;M4.5Ve         
84;cx        ;        5;WISE J174640.78-033818.0                        ;WISE J174640.78-033818.0           ;BD*;17 46 40.78080 -03 38 18.0348          ;17.17;null;T6             
85;d         ;        1;2MASS J17545447+1649196                         ;2MASS J17545447+1649196            ;BD*;17 54 54.47208 +16 49 19.6680          ;15.808;15.556;T5.5           
86;sdx       ;        5;WISE J1809-0448                                 ;2MASS J18095256-0448081            ;BD*;18 09 52.5889165909 -04 48 08.976693673;15.14;13.96;T1             
87;d         ;        1;WISEPA J190624.75+450808.2                      ;2MASS J19062476+4508112            ;BD*;19 06 24.76512 +45 08 11.2668          ;16.320;16.830;T6             
88;x         ;        1;WISE J203042.79+074934.7                        ;2MASS J20304235+0749358            ;BD*;20 30 42.3329934879 +07 49 35.784998811;14.227;13.319;T1.5           
89;x         ;        1;UGPS J20480024+503821.9                         ;UGPS J204800.24+503821.9           ;NIR;20 48 00.24 +50 38 21.9                ;null;null;null              
90;sdx       ;        4;PSO J319.3-29.6                                 ;2MASS J21171431-2940034            ;BD*;21 17 14.312 -29 40 03.42              ;15.60;14.15;T0:            
91;x         ;        4;2MASS J21371044+1450475                         ;2MASS J21371044+1450475            ;BD*;21 37 10.4550345377 +14 50 47.695026833;14.13;12.81;L0.8V          
92;d         ;        1;2MASS J22092183-2711329                         ;2MASS J22092183-2711329            ;BD*;22 09 21.83760 -27 11 32.9568          ;15.786;15.097;T2.5           
93;d         ;        1;2MASS J23185497-1301106                         ;2MASS J23185497-1301106            ;BD*;23 18 54.97488 -13 01 10.6752          ;15.553;15.024;T5             
94;d         ;        1;PM I23492+3458B                                 ;2MASS J23491511+3458562            ;BD*;23 49 15.111 +34 58 56.24              ;16.298;15.008;L9             
95;d         ;        1;PM I23492+3458                                  ;UCAC3 250-294713                   ;PM*;23 49 17.7822374029 +34 58 44.743671790;9.130;8.298;null              
