RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,J-mag,J-mag Error,H-mag,H-mag Error,K-mag,K-mag Error
0.3019425208930995,15.593338632848468,132.5,2.2,-180.3,1.9,27.2,3.5,SDSS J000112.18+153535.5  ,L3.7 (INT-G),15.522,0.062,14.505,0.053,13.71,0.044
1.1278655632363277,-26.066531825529843,-0.9,4.3,-243.7,3.8,33.1,4.7,PSO J001.1277-26.0675     ,T4          ,16.487,0.133,15.587,0.129,15.523,
3.3424881528400046,-11.716725333374487,213.7,3.3,-26.7,3.1,40.3,3.1,PSO J003.3437-11.7168     ,T4          ,16.349,0.095,15.682,0.109,15.69,0.216
3.937170154317886,35.267520883002504,47.2,2.8,-257.8,2.7,65.7,3.5,2MASSW J0015447+351603    ,L1.0        ,13.878,0.031,12.892,0.036,12.264,0.024
5.630826579055906,-6.866943161808851,-106.7,2.3,-7.2,2.3,30.6,3.0,PSO J005.6302-06.8669     ,T3          ,16.239,0.086,15.575,0.107,15.097,0.138
7.919320725618953,33.596149155203776,-17.3,2.3,-19.2,1.9,45.4,3.8,PSO J007.9194+33.5961     ,L9          ,16.453,0.127,15.428,0.12,14.49,0.079
10.103498467902883,9.015448443781834,-53.7,2.8,-62.3,2.3,71.3,2.7,WISE J004024.88+090054.8  ,T7          ,16.502,0.123,16.536,0.268,15.738,
11.701511711911717,7.254995413258747,87.4,2.5,-58.8,2.5,24.5,2.5,2MASS J00464841+0715177   ,L0.9 (VL-G) ,13.885,0.028,13.178,0.035,12.546,0.026
12.599795299361249,-15.638447508283535,-224.1,2.7,-492.2,3.7,37.3,2.3,SIPS J0050-1538           ,L0.5        ,13.779,0.023,13.077,0.026,12.647,0.027
12.795613133955035,-15.737913983279526,55.0,3.7,-47.6,4.2,27.6,3.1,2MASSW J0051107-154417    ,L5:         ,15.277,0.05,14.164,0.048,13.466,0.039
19.799367793320517,24.058821450290424,264.6,1.5,5.5,1.6,28.9,2.9,SDSS J011912.22+240331.6  ,T2          ,17.017,0.185,15.953,0.155,17.042,
22.82705259889316,38.032079091805954,374.1,3.3,-30.3,3.3,39.1,4.3,2MASS J01311838+3801554   ,L1.5        ,14.679,0.034,13.696,0.034,13.054,0.034
23.899520187913414,12.089595275545506,-43.7,3.0,-445.9,2.3,40.7,2.3,2MASSW J0135358+120522    ,L0.6        ,14.412,0.032,13.527,0.032,12.918,0.029
24.436768272746363,9.13665447506538,-49.2,2.8,-145.1,2.4,25.7,4.5,PSO J024.4369+09.1360     ,T3.5        ,16.515,0.136,16.182,0.246,16.111,
24.653209989689763,-3.371630379340689,112.1,2.7,-307.8,3.2,43.9,2.9,WISEPC J013836.59-032221.2,T3          ,16.389,0.096,15.801,0.147,15.198,0.129
